Response ID,Date submitted,Last page,Start language,Seed,"On average, how much time do you spend playing video games each week?  [Select one option]",What types of courses have you taken at McMaster this current school year? [Select one option],"During the current school year, how often would you say you have done the following? [Combined ideas from different courses when completing assignments]","During the current school year, how often would you say you have done the following? [Connected your learning to societal problems or health-related issues]","During the current school year, how often would you say you have done the following? [Learned something that changed the way you understand an issue or concept]","During the current school year, how often would you say you have done the following? [Connected ideas from your courses to your prior experiences and knowledge]","During the current school year, how much would you say your coursework has emphasized the following? [Memorizing course material]","During the current school year, how much would you say your coursework has emphasized the following? [Applying facts, theories, or methods to practical problems or new situations]","During the current school year, how much would you say your coursework has emphasized the following? [Analyzing an idea, experience, or line of reasoning in depth by examining its parts]","During the current school year, how much would you say your coursework has emphasized the following? [Forming a new idea or understanding from various pieces of information]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Combine ideas from different courses when completing assignments]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Connecting learning to societal problems or health-related issues]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Learn something that changes the way you understand an issue or concept]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Connect ideas from your courses to your prior experiences and knowledge]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Memorizing course material]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Applying facts, theories, or methods to practical problems or new situations]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Analyzing an idea, experience, or line of reasoning in depth by examining its parts]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Forming a new idea or understanding from various pieces of information]","How likely is it that you would play the video game Cells at War on your own time, outside of class to further consolidate material taught during this class? [Select one option]","How prepared would you feel if you were given a quiz on Pompe Disease based on the Cells at War game, compared to studying off traditional lecture slides (with accompanying readings)? [Select one option]","Going forward, would you like to see more game-based learning approaches being utilized in the classroom as an alternative to conventional teaching methods (ex. traditional lectures), especially as it applies to applications in the real world? Explain briefly.","How intuitive were the camera controls? (1 being least intuitive, 5 being most intuitive)","How intuitive were the game play elements (aiming, shooting, glucose, post-care)? (1 being least intuitive, 5 being most intuitive)","From a learning perspective, how accessible does the game feel for you? Can you suggest any improvements that would make the game more accessible for all types of learners? (1 being not accessible and 5 being very accessible)","From a learning perspective, how accessible does the game feel for you? Can you suggest any improvements that would make the game more accessible for all types of learners? (1 being not accessible and 5 being very accessible) [Comment]",Please report any major bugs in the game if applicable
65,1980-01-01 00:00:00,1,en,2147347996,I don't play video games,A balanced mix of the above course types,Often,Sometimes,Sometimes,Often,Quite a bit,Some,Some,Some,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Not Very Likely,Somewhat Prepared,"yes, game-based learning makes the content easier to understand and helps me remember concepts easier",4,4,3,,
66,,,en,924190872,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,en,915128299,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1980-01-01 00:00:00,1,en,842473731,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes, I would like to see some more game-based learning approaches in the classroom because it keeps me engaged with my learning.",,5,5,,
69,1980-01-01 00:00:00,1,en,156381345,Very little (less than 3 hours a week),Mostly in-person courses,Often,Sometimes,Often,Often,Quite a bit,Very little,Quite a bit,Very little,Some,Very much,Very much,Very little,Some,Very much,Very much,Quite a bit,Somewhat Likely,Very prepared,"Yes, I liked how memorable the content was presented as well as the cutscenes. I als",3,5,3,have you considered colours for red-gree colour blindness?,
70,,,en,1501902681,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,en,963941436,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,en,88529106,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1980-01-01 00:00:00,1,en,2067711105,Quite a bit (between 10-20 hours per week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Very often,Often,Very much,Some,Quite a bit,Quite a bit,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very Likely,Very prepared,I would love to see more games! It really helps me to understand how the content can actually be applicable and how it actually functions. Its much easier to comprehend than simply reading over a textbook. Being interactive you can physically see how it affects the body.,3,4,3,"If anything, having an option to be able to fix the camera in a specific location so I do not move the camera while playing",N/A
85,1980-01-01 00:00:00,1,en,700830870,Some (between 3-10 hours per week),Mostly in-person courses,Often,Sometimes,Very often,Very often,Very much,Quite a bit,Some,Very little,Some,Quite a bit,Very much,Very much,Very much,Very much,Very much,Quite a bit,Very Likely,Somewhat Prepared,"Going forward, I think that this would be a great idea! However, I do think it would be useful to emphasize what parts of the video game we would need to know for the tests or long-term just because there are so many terms in the video game!",4,5,5,,It did just bug slightly at the end of the video playing before the second level.
86,1980-01-01 00:00:00,1,en,1174689967,Very little (less than 3 hours a week),Mostly in-person courses,Sometimes,Never,Often,Sometimes,Some,Very little,Very little,Very little,Some,Some,Some,Very little,Very little,Some,Some,Some,Not Very Likely,Somewhat Prepared,"yes, was a fun interactive way to learn",4,4,5,,
87,1980-01-01 00:00:00,1,en,1287988438,,Mostly in-person courses,Often,Sometimes,Often,Very often,Very much,Quite a bit,Quite a bit,Very little,Some,Quite a bit,Very much,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes, it is a very interactive way to learn. However, I would still like some slides at the end (like today), explaining the things and summarizing them at the end since it's easier to reinforce. The game can be the primary mode of teaching.",4,4,4,,Did not see any bugs. AMAZING GAME!!!
88,1980-01-01 00:00:00,1,en,1019858117,Some (between 3-10 hours per week),Mostly in-person courses,Often,Often,Often,Often,Very much,Very much,Quite a bit,Quite a bit,Very much,Some,Very much,Very much,Very much,Very much,Quite a bit,Quite a bit,Very Likely,Somewhat Prepared,I would love to see it because they help with making learning fun and better for all. It makes me stay focused in class too.,4,4,4,Have it open on other browsers as well,Maybe the loading screens they tend to bug out a little
89,1980-01-01 00:00:00,1,en,1214392137,Very little (less than 3 hours a week),A balanced mix of the above course types,Often,Often,Very often,Very often,Very much,Quite a bit,Quite a bit,Some,Some,Very much,Very much,Quite a bit,Quite a bit,Very much,Some,Very little,Somewhat Likely,Very prepared,"Yes, I would love to see that. In many of my science courses I believe that having an applied tool like a game would help me to understand and enjoy concepts more.",4,5,4,The cuts were a little too long on my opinion.,
90,1980-01-01 00:00:00,1,en,2058106384,Quite a bit (between 10-20 hours per week),A balanced mix of the above course types,Sometimes,Sometimes,Sometimes,Sometimes,Quite a bit,Quite a bit,Some,Some,Some,Some,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Not very prepared,Yes as long as important information is still present in written form.,3,4,4,Maybe a retry button at the end of a winning game,
91,1980-01-01 00:00:00,1,en,791364305,Very little (less than 3 hours a week),A balanced mix of the above course types,Very often,Often,Very often,Very often,Very much,Very much,Quite a bit,Quite a bit,Very much,Very much,Very much,Quite a bit,Very much,Very much,Quite a bit,Quite a bit,Somewhat Likely,Very prepared,I think this game-based learning would make me remember the concepts better and truthfully makes the concepts (and class/lectures) more interesting to attend.,3,3,5,,"I just found it a bit difficult to drag the cursor to aim and shoot the enzymes, the dashed-white lines should appear more often."
92,1980-01-01 00:00:00,1,en,513356285,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Sometimes,Often,Often,Quite a bit,Very much,Quite a bit,Quite a bit,Very much,Very much,Very much,Very much,Quite a bit,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,I would like more game-based learning approaches being utilized in the classroom because it helps with remembering concepts and processes in biology.,5,4,5,,
93,1980-01-01 00:00:00,1,en,1201478083,I don't play video games,A balanced mix of the above course types,Never,Sometimes,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Some,Some,Quite a bit,Some,Some,Some,Quite a bit,Some,Not Very Likely,Not prepared at all,"I think it is definitely a good way to learn content, but I would still like to also have lecture slides available rather than notes within the game. I would like to see hybrid lectures but would not prefer to rely solely on the game for my learning.",4,4,5,,
94,1980-01-01 00:00:00,1,en,1154370371,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Sometimes,Often,Often,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Some,Some,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes, actually doing something related to the content makes it easier to understand and recall later",4,4,5,,
95,1980-01-01 00:00:00,1,en,1473506729,Very much (greater than 20 hours per week),Mostly in-person courses,Often,Often,Sometimes,Very often,Quite a bit,Very much,Quite a bit,Quite a bit,Very much,Very much,Very much,Very much,Quite a bit,Quite a bit,Very much,Very much,Somewhat Likely,Somewhat Prepared,"I would love to see it! I love video games, though I'm not so good at PC gaming yet, and I find that making the learning more hands on helps me to really understand concepts thoroughly.",4,3,4,I've played enough games to be able to intuitively pull back and shoot but I didn't notice that you could pull back harder for a bit. Maybe emphasize that?,"level 3 actually crashed for me, but thats not really a bug"
96,1980-01-01 00:00:00,1,en,2029682139,I don't play video games,Mostly in-person courses,Never,Sometimes,Often,Often,Very much,Quite a bit,Very much,Some,Quite a bit,Very much,Quite a bit,Very much,Quite a bit,Very much,Very much,Very much,Not Very Likely,Not very prepared,Yes. It is fun and helps consolidate information,4,3,3,I had trouble shooting and controlling my target,
97,1980-01-01 00:00:00,1,en,2144354528,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Very often,Sometimes,Very often,Very often,Very much,Some,Quite a bit,Very much,Very much,Quite a bit,Very much,Quite a bit,Very much,Very much,Very much,Quite a bit,Very Likely,Somewhat Prepared,"Yes, I think that games are a great way to combine material with a fun, interactive way of learning",5,5,5,It's very accessible,N/A
98,1980-01-01 00:00:00,1,en,985377517,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Very often,Very often,Very often,Very much,Quite a bit,Quite a bit,Some,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,"Yes, because the game uses active recall and real time application, which I find very helpful.",5,4,5,,
99,1980-01-01 00:00:00,1,en,886732218,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Sometimes,Often,Very often,Very much,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Some,Very little,Some,Not Very Likely,Somewhat Prepared,"Yes, you would have to apply throughout the game leading you to learn the content.",4,4,,,Some freezing accord during the explanation part of each level.
100,1980-01-01 00:00:00,1,en,306066447,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Very much,Quite a bit,Quite a bit,Some,Some,Some,Quite a bit,Some,Some,Quite a bit,Quite a bit,Some,Not Very Likely,Somewhat Prepared,"Going forward, it would be nice to see more game-based approaches to be able to visualize some of the harder concepts. I enjoy how it was presented today, as there was theory and then accompanying game playing.",4,4,5,The game was accessible.,No bugs
101,1980-01-01 00:00:00,1,en,1066566499,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Often,Often,Very much,Very much,Very much,Very much,Quite a bit,Very much,Very much,Very much,Very much,Quite a bit,Very much,Very much,Somewhat Likely,Very prepared,Yes I would . I would find it useful for even conceptual topics. For example a 5 minute game to understand how mitosis works etc.,5,5,5,Very accessible. Maybe less cut outs when repeating levels,N/A
102,1980-01-01 00:00:00,1,en,564145547,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Sometimes,Very often,Often,Quite a bit,Very much,Quite a bit,Some,Quite a bit,Some,Very much,Very much,Very much,Very much,Quite a bit,Very much,Very Likely,Very prepared,Yes! I found the game very engaging and am definitely going to explore its features on my own time- just because it seems so fun!,4,5,4,,None! My computer was just a bit slow so it was lagging a bit but the game itself is great :)) Very impressive
103,1980-01-01 00:00:00,1,en,1239220832,I don't play video games,A balanced mix of the above course types,Sometimes,Sometimes,Sometimes,Sometimes,Very much,Some,Some,Some,Some,Some,Some,Some,Very little,Some,Some,Some,Not Very Likely,Not very prepared,Not really. I am not very interested in games.,3,3,4,,
104,1980-01-01 00:00:00,1,en,101994451,Quite a bit (between 10-20 hours per week),"Mostly remote courses (online, web-based, Zoom, etc)",Often,Sometimes,Often,Very often,Quite a bit,Some,Quite a bit,Quite a bit,Very much,Very much,Very much,Quite a bit,Very much,Very much,Very much,Very much,Very Likely,Very prepared,"Yes, this is a very good initiative!",5,3,5,,
105,1980-01-01 00:00:00,1,en,800081676,Some (between 3-10 hours per week),Mostly hybrid or blended courses that combine in-person and remote instruction,Very often,Often,Very often,Very often,Quite a bit,Very much,Very much,Quite a bit,Quite a bit,Very much,Very much,Quite a bit,Very much,Very much,Quite a bit,Quite a bit,Very Likely,Very prepared,"yes - cystic fibrosis, jacob's disease, etc...",5,5,5,,
106,1980-01-01 00:00:00,1,en,1582391978,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Never,Sometimes,Sometimes,Quite a bit,Some,Quite a bit,Quite a bit,Some,Some,Some,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Not Likely at All,Very prepared,"Yes! I found it much easier to remember the concepts through the video game. I think the video game idea is a great idea because it does not feel like ""studying"" yet you are still learning the  material required.",4,4,5,,I did not notice any bugs.
107,1980-01-01 00:00:00,1,en,1200203864,I don't play video games,A balanced mix of the above course types,Sometimes,Sometimes,Sometimes,Often,Quite a bit,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,"Yes! This game based approach was very motivating, it made me want to learn the material and apply it. It made me want to go back with a fresh, deeper understanding each time.",4,4,5,Maybe some more brief instructions on things like how to aim,
108,1980-01-01 00:00:00,1,en,1906666578,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Often,Often,Some,Very much,Quite a bit,Quite a bit,Some,Some,Very much,Some,Very little,Some,Very much,Very much,Not Likely at All,Somewhat Prepared,yes,,,5,,
109,1980-01-01 00:00:00,1,en,883396512,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Very much,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Quite a bit,Very much,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,Yes. The game-based and hands-on learning enables me to be more interested and focused when learning.,4,4,5,,It paused sometimes when shooting
110,1980-01-01 00:00:00,1,en,797727375,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Some,Some,Some,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes, I think that the incorporation of games in learning is a good way to help students visualize learned information. By playing games like Cells at War, students are able to better understand the mechanisms behind specific cellular processes, and how these processes may be affected by disease.",5,5,5,N/A,N/A
111,1980-01-01 00:00:00,1,en,1462409737,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,I think it would be great to have more hands on learning including video games when trying to grasp material in a course. It helps retain the info better.,4,4,5,It would be nice if there was a back button when you click the people.,
112,1980-01-01 00:00:00,1,en,902529340,Very little (less than 3 hours a week),Mostly in-person courses,Often,Often,Very often,Very often,Very much,Quite a bit,Quite a bit,Very much,Very much,Very much,Very much,Very much,Quite a bit,Very much,Very much,Quite a bit,Very Likely,Somewhat Prepared,Yes! I find playing video game help me understand what is going on instead of reading off words on a slideshow. It helps to see the interactions between different enzymes and molecules and understand why and how the process works. In this case I understood better how Pompe disease works rather than sickle cell anemia.,4,4,5,A leaderboard idea is fun!,
113,1980-01-01 00:00:00,1,en,916458352,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Very often,Often,Sometimes,Quite a bit,Very much,Quite a bit,Very little,Quite a bit,Very much,Very much,Very much,Very much,Very much,Very much,Quite a bit,Somewhat Likely,Somewhat Prepared,,1,2,5,,"Not a bug, but during cut scenes it was time consuming to sit and click ""next"" without any indication to do so. The cut scenes were also quite laggy but no real bugs."
114,1980-01-01 00:00:00,1,en,2027937725,Very little (less than 3 hours a week),A balanced mix of the above course types,Sometimes,Sometimes,Sometimes,Often,Very much,Quite a bit,Some,Some,Some,Some,Very little,Some,Quite a bit,Some,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,,4,4,5,,n/a
115,1980-01-01 00:00:00,1,en,1892939758,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Sometimes,Often,Some,Quite a bit,Quite a bit,Some,Some,Very much,Some,Some,Some,Quite a bit,Some,Some,Not Very Likely,Somewhat Prepared,"I personally like learning using lectures as I find them to be easier for me to understand the real-world connection. However, I think the game-based learning would be good as an extra resource for students to learn more.",4,4,4,"I think it would be easier to play with a mouse, but other than that it's pretty good. And this isn't a accessibility comment, but I would love to see a female character as well!",
116,1980-01-01 00:00:00,1,en,1726749321,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Often,Often,Quite a bit,Quite a bit,Some,Some,Quite a bit,Quite a bit,Some,Some,Quite a bit,Quite a bit,Some,Very much,Somewhat Likely,Somewhat Prepared,"Yes, it's a creative way to help visualize what goes on in a diseased cell vs regular, and how the disease effects cell function",4,3,4,,"the syringe glitched for me once, and then it was fine after reloading"
117,1980-01-01 00:00:00,1,en,32854778,I don't play video games,A balanced mix of the above course types,Never,Sometimes,Never,,Quite a bit,Some,Quite a bit,Some,Some,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,"Yes, makes learning more fun, more interactive than sitting through an hour of talking",3,5,4,,"I spent most of the time trying to get past the intro, wouldnt let me move past it"
118,1980-01-01 00:00:00,1,en,991360150,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Some,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,yes some classes can have games but some need lessons,4,5,5,very good and easy to play,none
119,1980-01-01 00:00:00,1,en,1762860727,I don't play video games,A balanced mix of the above course types,Often,Sometimes,Sometimes,Often,Some,Some,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Not very prepared,"Yes, but not all the applied lectures, maybe 1 per theme?",3,3,3,,
120,1980-01-01 00:00:00,1,en,613844481,I don't play video games,Mostly in-person courses,Sometimes,Sometimes,Often,Often,Very much,Very much,Very much,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Quite a bit,Quite a bit,Somewhat Likely,Not very prepared,Yeah I would like to have these type of interactive games in a classroom since it will help me visualize the real-life applications,4,4,4,I think this game is very easy to navigate,
121,1980-01-01 00:00:00,1,en,907436747,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Sometimes,,,Very much,Quite a bit,Quite a bit,Some,Quite a bit,Some,Very much,Quite a bit,Some,Quite a bit,Quite a bit,Some,Not Likely at All,Somewhat Prepared,"yes, it would be beneficial and easier to learn concepts if there was a game based activity",3,3,4,,
122,1980-01-01 00:00:00,1,en,1113752640,Very little (less than 3 hours a week),A balanced mix of the above course types,Very often,Sometimes,Sometimes,Very often,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Very much,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Not Very Likely,Somewhat Prepared,I like both. Copying notes in a traditional lecture is how i learn best.,4,4,5,,Lighting issues
123,1980-01-01 00:00:00,1,en,794403895,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Never,Often,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Somewhat Likely,Very prepared,"Yes, I feel like applying my learning when playing games makes it an overall better learning experience. Games are fun so when combing fun with learning I think it is a win-win situation.",3,3,5,,
124,1980-01-01 00:00:00,1,en,242123732,I don't play video games,A balanced mix of the above course types,Sometimes,Sometimes,Often,Often,Some,Quite a bit,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Very little,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes, it is a lot easier to learn with games.",3,4,3,,
125,1980-01-01 00:00:00,1,en,651705132,Some (between 3-10 hours per week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Sometimes,Often,Very often,Quite a bit,Quite a bit,Very little,Some,Quite a bit,Some,Very much,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Very prepared,"Yes, absolutely! Having more interactive material in the course would be very helpful in learning mechanics, especially since it puts a moving visual to concepts that we've discussed.",2,4,4,"From a learning perspective, the game was fine. I had a lot of trouble clicking inside the hitboxes though-- maybe it could be more accessible to trackpad users? Missing the hitbox and then accidentally dragging the camera around made the gameplay a bit more difficult. Other than that, great game :D","No major bugs! The cards in the expert deck went to a different spot than where they started when picked up, but this didn't repeat itself on Alex's screen, so that might just be my laptop being wonky with the formatting."
126,,,en,690880820,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1980-01-01 00:00:00,1,en,1305731343,Very little (less than 3 hours a week),A balanced mix of the above course types,Sometimes,Often,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Very much,Very much,Some,Quite a bit,Very much,,Somewhat Prepared,"yes, it is a fun way to apply the learned knowledge, makes you think",4,4,5,its pretty good,
128,1980-01-01 00:00:00,1,en,392040271,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Sometimes,Sometimes,Sometimes,Some,Very much,Very much,Quite a bit,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Not Likely at All,Not prepared at all,No I do not enjoy video games,2,2,3,,
129,1980-01-01 00:00:00,1,en,388282698,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Very often,Very often,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Very much,Very much,Quite a bit,Very much,Very much,Very much,Very Likely,Somewhat Prepared,"I would love to, game-based learning helped me understand this so much faster than i would have from slides, the simulation really helped and the additional interactive portion drilled the ideas into my head to the point that i'd feel comfortable being tested on this having taken no notes.",4,4,5,,no bugs but i think you guys should sell the little sad enzymes as stuffed animals in the campus store because i want one
130,,,en,36802745,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,en,296577613,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1980-01-01 00:00:00,1,en,529794283,Some (between 3-10 hours per week),Mostly in-person courses,Often,Often,Often,Often,Quite a bit,Some,Quite a bit,Some,Quite a bit,Some,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes I think so, I find this way of teaching new and is sometimes better than just taking notes.",3,4,3,,
133,,,en,393003201,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1980-01-01 00:00:00,1,en,1095171141,Some (between 3-10 hours per week),Mostly hybrid or blended courses that combine in-person and remote instruction,Very often,Sometimes,Often,Often,Quite a bit,Quite a bit,Some,Some,Some,Very little,Quite a bit,Quite a bit,Very little,Quite a bit,Quite a bit,Some,Not Very Likely,Somewhat Prepared,"yes, it was fun",4,3,5,"get rid of the animation every-time you reset the level,",animation after every reset
135,,,en,1910914888,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1980-01-01 00:00:00,1,en,679544159,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Sometimes,Often,Often,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Somewhat Likely,Very prepared,"Going forward, I would like to see more game-based learning approached because it makes the concepts easier to memorize and understand.",5,5,5,,
137,1980-01-01 00:00:00,1,en,2141788386,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Sometimes,Sometimes,Often,Quite a bit,Some,Some,Quite a bit,Some,Quite a bit,Quite a bit,Some,Some,Very little,Some,Very little,Somewhat Likely,Somewhat Prepared,"I think it's a good option supplementarily, but not necessarily as a replacement.",4,3,3,,
138,1980-01-01 00:00:00,1,en,1029451852,I don't play video games,A balanced mix of the above course types,Often,Often,Sometimes,Very often,Very much,Some,Some,Some,,,,,Quite a bit,Quite a bit,Quite a bit,Quite a bit,,Somewhat Prepared,"Yes, it helps with understanding",3,3,5,,Tried to start a level and it said game over
139,1980-01-01 00:00:00,1,en,165509865,Some (between 3-10 hours per week),Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Sometimes,Often,Often,Very much,Quite a bit,Quite a bit,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,Yes,4,3,4,,
140,1980-01-01 00:00:00,1,en,1723956995,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Sometimes,Often,Sometimes,Quite a bit,Quite a bit,Some,Some,Quite a bit,Quite a bit,Very much,Very much,Very much,Very much,Quite a bit,Quite a bit,Somewhat Likely,Very prepared,"Yes, game based learning is very interactive and fun and helps me keep engaged in the content better.",4,4,5,,
141,1980-01-01 00:00:00,1,en,1031507248,Very little (less than 3 hours a week),A balanced mix of the above course types,Sometimes,Very often,Very often,Often,Quite a bit,Quite a bit,Quite a bit,Very much,Quite a bit,Some,Quite a bit,Some,Some,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,"Yes, it demonstrates the concept much more comprehensively. Getting to mess around with the actual mechanism clarifies the work well.",5,4,5,Maybe an auditory component for colour-blind learners,"The lysosomes were stuck outside of the cell for a while, the boomerang thing holding the enzyme was just floating without one."
142,1980-01-01 00:00:00,1,en,554909194,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Sometimes,Sometimes,Often,Very much,Some,Some,Some,Very much,Quite a bit,Quite a bit,Some,Very much,Very much,Some,Quite a bit,Very Likely,Somewhat Prepared,"yes, the game was very helpful and made me feel more engaged with the class material, I think its a great way to teach applied lectures.",5,5,5,,"no bugs, there was a spelling mistake for the word lysosomes at the end though."
143,1980-01-01 00:00:00,1,en,1295183873,I don't play video games,Mostly in-person courses,Often,Often,Often,Very often,Very little,Quite a bit,Very much,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Not very prepared,I would like to see more game-based learning being utilized in the classroom because I believe that it is more beneficial when using a fun learning method and you are likely to retain and understand more information,4,5,5,,
144,1980-01-01 00:00:00,1,en,2028149666,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Very often,Often,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Very much,Very much,Quite a bit,Very much,Very much,Quite a bit,Very Likely,Somewhat Prepared,,4,3,3,,
